                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.4015,                 7.1982,                 4.8861,                0.00017,                0.00353,                0.00072,                0.00033,                 4.5474,                 5.9393,                 4.1474,                 0.0928,                 0.0008,                 0.0008
                      1,                 4.5333,                 6.6835,                 4.6094,                  4e-05,                0.00088,                  6e-05,                  3e-05,                 4.5255,                 5.7795,                 4.1269,               0.084683,              0.0016832,              0.0016832
                      2,                 4.2575,                 6.6782,                 4.4913,                0.00018,                0.00353,                 0.0002,                  7e-05,                 4.5114,                 5.6797,                 4.1152,               0.076549,              0.0025485,              0.0025485
                      3,                 4.7403,                 6.1226,                 4.3335,                  4e-05,                0.00088,                0.00016,                  8e-05,                  4.497,                 5.6044,                 4.1041,               0.068396,               0.003396,               0.003396
                      4,                 4.4659,                 5.8905,                 4.2789,                  5e-05,                0.00088,                  4e-05,                  2e-05,                 4.4832,                  5.532,                 4.0931,               0.060226,              0.0042258,              0.0042258
                      5,                 4.2922,                 5.4309,                 4.1486,                  9e-05,                0.00177,                  5e-05,                  2e-05,                 4.4729,                 5.4775,                 4.0851,               0.052038,              0.0050376,              0.0050376
                      6,                 3.9596,                  4.571,                 3.9756,                  9e-05,                0.00177,                  8e-05,                  3e-05,                  4.468,                  5.448,                 4.0823,               0.043832,              0.0058317,              0.0058317
                      7,                 3.8284,                 4.5141,                 3.7793,                  5e-05,                0.00088,                  3e-05,                  2e-05,                 4.4645,                 5.4241,                 4.0805,               0.035608,               0.006608,               0.006608
                      8,                 3.4838,                 4.0665,                 3.5929,                  5e-05,                0.00088,                  3e-05,                  2e-05,                 4.4589,                    5.4,                 4.0794,               0.027366,              0.0073664,              0.0073664
                      9,                  3.502,                 4.0923,                 3.4236,                0.00022,                0.00442,                0.00012,                  4e-05,                 4.4482,                 5.3531,                 4.0753,               0.019107,               0.008107,               0.008107
